ts,providerid,click,revenue
2017072620,60,120104,28067.23379392213
2017073018,21,1,0.6299999910029311
2017080122,10,6526,8774.880030083852
2017080609,26,1,0.123184
2017080823,800000000,3616,0
2017081309,19,2,0.1
2017081501,31,2865,0
2017070114,12,86,17.193537000000006
2017070903,60,93604,19144.283449957686
2017070919,12,163,35.101576999999985
2017071020,31,1909,0
2017071308,800000000,3287,0
2017071700,28,700,0
2017071922,6,39,35.160000471867555
2017072317,60,107847,29399.777387260103
2017072400,21,1,0.17000000201737178
2017072511,10,4654,5723.130006965342
2017073004,8,28,43.820000378797616
2017073114,28,2106,0
2017080802,8,48,40.59000027566914
2017080912,28,1915,
2017081405,26,1,0.086642
2017070210,19,1,0.05
2017070321,8,78,104.14999944388518
2017071619,6,32,31.019999942965846
2017071715,12,553,84.24496399999975
2017072104,800000000,2781,0
2017072208,10,2343,2861.5200077462027
2017072621,31,1498,0
2017072909,800000000,3242,0
2017073113,60,96713,25663.359145663784
2017080122,12,287,47.70329699999997
2017080609,28,1408,0
2017080911,60,60011,15058.570572976862
2017081316,800000000,3581,0
2017070904,31,1972,0
2017071811,19,35,0.5600000000000002
2017071922,8,69,94.01000039250509
2017072318,31,1272,0
2017072415,6,12,14.870000487173328
2017072511,12,59,15.170115000000003
2017073004,10,3066,5379.330022423748
2017073100,16,2,6.146196
2017080608,60,44586,7204.981399476028
2017080802,10,6044,6800.650051855586
2017081405,28,1356,0
2017070210,21,5,11.069999620320182
2017070321,10,5144,7199.520039811019
2017070808,26,4,0.19102999999999998
2017071508,19,15,0.24000000000000005
2017071619,8,56,50.34000078914425
2017071700,31,2057,0
2017072208,12,118,17.001479000000018
2017073114,31,2188,0
2017080912,31,2224,
2017081404,60,78901,20394.170510100725
2017070719,800000000,2600,0
2017070919,16,7,7.086155
2017071604,26,17,0.5904900000000001
2017071811,21,7,42.30999962292777
2017071922,10,5311,6305.580047562917
2017072304,19,24,0.5700000000000001
2017072415,8,85,115.68000100766302
2017073004,12,151,28.004399999999993
2017073018,26,1,0.282597
2017080609,31,679,0
2017080706,6,13,15.360000289686024
2017080802,12,274,37.08418800000002
2017080816,26,1,0.073153
2017081516,19,5,0.161911
2017070321,12,197,37.80775800000002
2017070808,28,1192,0
2017071515,800000000,3937,0
2017071619,10,5210,8067.059991564031
2017071715,16,7,17.18211
2017072400,26,6,0.49848800000000004
2017073017,58,1,0
2017073100,19,5,0.08
2017080122,16,7,6.789140000000001
2017081405,31,1761,0
2017081502,6,70,140.19000040198483
2017070807,60,37093,9224.647137361544
2017071021,6,6,8.710000522187707
2017071604,28,931,0
2017071922,12,77,20.929858000000007
2017072304,21,1,0.8000000185190002
2017072311,800000000,3476,0
2017072415,10,8504,11389.679975778745
2017072511,16,6,10.741274
2017073018,28,1145,0
2017080706,8,17,37.29999943631496
2017080816,28,1719,0
2017081516,21,3,13.310000239850595
2017081523,800000000,2910,0
2017070114,19,5,0.15
2017070919,19,8,0.37
2017071603,60,88269,17245.73659103139
2017071619,12,175,38.42747099999998
2017072008,800000000,3387,0
2017072208,16,1,0.96989
2017072400,28,699,0
2017072622,6,24,24.59999966121502
2017073017,60,108695,27781.16271006663
2017073100,21,1,0.7300000256351349
2017080815,60,114576,33888.55011495661
2017081502,8,20,13.660000060172496
2017070100,6,28,41.0399998291239
2017070210,26,3,0.26523800000000003
2017070808,31,583,0
2017070905,6,23,41.420001081267095
